"","date","sst"
"1",2013-03-12,20.8159
"2",2013-03-13,20.9987
"3",2013-03-14,21.153
"4",2013-03-15,21.7346
"5",2013-03-16,22.161
"6",2013-03-17,22.6093
"7",2013-03-18,22.3822
"8",2013-03-19,21.3983
"9",2013-03-20,21.5027
"10",2013-03-21,21.268
"11",2013-03-22,22.2103
"12",2013-03-23,22.3713
"13",2013-03-24,21.9009
"14",2013-03-25,21.4909
"15",2013-03-26,21.916
"16",2013-03-27,22.4664
"17",2013-03-28,21.4301
"18",2013-03-29,21.8685
"19",2013-03-30,22.1797
"20",2013-03-31,22.9373
"21",2013-04-01,23.0949
"22",2013-04-02,23.5158
"23",2013-04-03,23.8525
"24",2013-04-04,23.6306
"25",2013-04-05,23.4672
"26",2013-04-06,23.2188
"27",2013-04-07,23.7949
"28",2013-04-08,24.0074
"29",2013-04-09,24.1106
"30",2013-04-10,24.1992
"31",2013-04-11,23.7494
"32",2013-04-12,24.1861
"33",2013-04-13,24.477
"34",2013-04-14,25.8616
"35",2013-04-15,25.7589
"36",2013-04-16,26.2279
"37",2013-04-17,26.019
"38",2013-04-18,26.1395
"39",2013-04-19,27.5324
"40",2013-04-20,26.6574
"41",2013-04-21,26.5546
"42",2013-04-22,25.311
"43",2013-04-23,25.3234
"44",2013-04-24,25.4982
"45",2013-04-25,25.7915
"46",2013-04-26,25.11
"47",2013-04-27,25.084
"48",2013-04-28,25.5888
"49",2013-04-29,25.208
"50",2013-04-30,24.8223
"51",2013-05-01,25.0309
"52",2013-05-02,24.8954
"53",2013-05-03,25.2781
"54",2013-05-04,26.1421
"55",2013-05-05,25.7233
"56",2013-05-06,25.7089
"57",2013-05-07,25.7091
"58",2013-05-08,25.5459
"59",2013-05-09,26.2327
"60",2013-05-10,27.3053
"61",2013-05-11,26.687
"62",2013-05-12,27.2253
"63",2013-05-13,27.4805
"64",2013-05-14,27.0616
"65",2013-05-15,27.8428
"66",2013-05-16,27.7274
"67",2013-05-17,28.2577
"68",2013-05-18,27.6892
"69",2013-05-19,26.9576
"70",2013-05-20,27.4454
"71",2013-05-21,27.3312
"72",2013-05-22,27.9153
"73",2013-05-23,28.1105
"74",2013-05-24,28.6684
"75",2013-05-25,29.1498
"76",2013-05-26,28.6458
"77",2013-05-27,29.173
"78",2013-05-28,29.5892
"79",2013-05-29,28.5079
"80",2013-05-30,29.2862
"81",2013-05-31,28.4122
"82",2013-06-01,27.6129
"83",2013-06-02,28.7759
"84",2013-06-03,28.5683
"85",2013-06-04,29.5714
"86",2013-06-05,29.2666
"87",2013-06-06,29.6321
"88",2013-06-07,29.3685
"89",2013-06-08,29.4655
"90",2013-06-09,28.7629
"91",2013-06-10,28.2266
"92",2013-06-11,27.7564
"93",2013-06-12,27.9722
"94",2013-06-13,28.2057
"95",2013-06-14,28.34
"96",2013-06-15,28.0991
"97",2013-06-16,27.8444
"98",2013-06-17,28.551
"99",2013-06-18,28.5495
"100",2013-06-19,28.5886
"101",2013-06-20,29.5052
"102",2013-06-21,29.7648
"103",2013-06-22,30.0167
"104",2013-06-23,30.0167
"105",2013-06-24,30.5264
"106",2013-06-25,30.4423
"107",2013-06-26,30.4942
"108",2013-06-27,29.7665
"109",2013-06-28,30.3496
"110",2013-06-29,31.2485
"111",2013-06-30,31.0188
"112",2013-07-01,31.4981
"113",2013-07-02,32.0019
"114",2013-07-03,32.0323
"115",2013-07-04,31.2425
"116",2013-07-05,30.8536
"117",2013-07-06,31.1324
"118",2013-07-07,31.1986
"119",2013-07-08,31.0154
"120",2013-07-09,31.481
"121",2013-07-10,31.9799
"122",2013-07-11,31.4518
"123",2013-07-12,31.2429
"124",2013-07-13,31.4264
"125",2013-07-14,31.5045
"126",2013-07-15,31.7772
"127",2013-07-16,32.6939
"128",2013-07-17,32.8336
"129",2013-07-18,33.0667
"130",2013-07-19,33.1251
"131",2013-07-20,33.4876
"132",2013-07-21,33.8198
"133",2013-07-22,33.6334
"134",2013-07-23,33.1027
"135",2013-07-24,32.8663
"136",2013-07-25,32.2986
"137",2013-07-26,31.984
"138",2013-07-27,31.9515
"139",2013-07-28,32.2187
"140",2013-07-29,32.7363
"141",2013-07-30,31.8591
"142",2013-07-31,31.7194
"143",2013-08-01,30.8478
"144",2013-08-02,30.0878
"145",2013-08-03,30.5855
"146",2013-08-04,31.6912
"147",2013-08-05,32.1001
"148",2013-08-06,31.5133
"149",2013-08-07,32.3375
"150",2013-08-08,32.1758
"151",2013-08-09,31.8847
"152",2013-08-10,32.9757
"153",2013-08-11,33.2667
"154",2013-08-12,32.7395
"155",2013-08-13,33.1158
"156",2013-08-14,32.6256
"157",2013-08-15,32.9684
"158",2013-08-16,33.0714
"159",2013-08-17,33.3191
"160",2013-08-18,33.0486
"161",2013-08-19,33.6875
"162",2013-08-20,33.182
"163",2013-08-21,33.55
"164",2013-08-22,33.5736
"165",2013-08-23,33.219
"166",2013-08-24,33.679
"167",2013-08-25,33.5549
"168",2013-08-26,33.1886
"169",2013-08-27,33.0256
"170",2013-08-28,33.0883
"171",2013-08-29,32.9812
"172",2013-08-30,33.3327
"173",2013-08-31,32.9694
"174",2013-09-01,32.7598
"175",2013-09-02,33.5274
"176",2013-09-03,33.7179
"177",2013-09-04,33.6419
"178",2013-09-05,34.0186
"179",2013-09-06,32.8717
"180",2013-09-07,31.9562
"181",2013-09-08,32.7453
"182",2013-09-09,32.0608
"183",2013-09-10,31.6316
"184",2013-09-11,31.9195
"185",2013-09-12,31.9736
"186",2013-09-13,32.2119
"187",2013-09-14,32.9012
"188",2013-09-15,32.3086
"189",2013-09-16,32.4839
"190",2013-09-17,32.9534
"191",2013-09-18,32.8768
"192",2013-09-19,33.2394
"193",2013-09-20,33.0291
"194",2013-09-21,32.4882
"195",2013-09-22,32.603
"196",2013-09-23,32.0835
"197",2013-09-24,32.021
"198",2013-09-25,31.7784
"199",2013-09-26,31.5226
"200",2013-09-27,30.8606
"201",2013-09-28,30.6103
"202",2013-09-29,30.8653
"203",2013-09-30,31.1382
"204",2013-10-01,30.5808
"205",2013-10-02,30.5164
"206",2013-10-03,30.5579
"207",2013-10-04,30.5427
"208",2013-10-05,30.5453
"209",2013-10-06,30.5801
"210",2013-10-07,30.524
"211",2013-10-08,30.2764
"212",2013-10-09,30.2298
"213",2013-10-10,29.8628
"214",2013-10-11,29.747
"215",2013-10-12,29.7768
"216",2013-10-13,29.6996
"217",2013-10-14,28.9042
"218",2013-10-15,29.0693
"219",2013-10-16,29.3905
"220",2013-10-17,28.9873
"221",2013-10-18,29.5859
"222",2013-10-19,29.5474
"223",2013-10-20,29.439
"224",2013-10-21,29.3573
"225",2013-10-22,29.6093
"226",2013-10-23,29.0672
"227",2013-10-24,28.9099
"228",2013-10-25,28.4044
"229",2013-10-26,28.8813
"230",2013-10-27,28.3457
"231",2013-10-28,28.0346
"232",2013-10-29,28.8948
"233",2013-10-30,27.7944
"234",2013-10-31,28.4402
"235",2013-11-01,28.2467
"236",2013-11-02,28.4211
"237",2013-11-03,27.7013
"238",2013-11-04,27.7859
"239",2013-11-05,27.8999
"240",2013-11-06,27.5713
"241",2013-11-07,27.5465
"242",2013-11-08,27.5882
"243",2013-11-09,27.3862
